LeaveVote;edlevel;gender;age;hhincome;econPersonalRetro1;EuropeanIdentity;EnglishIdentity;BritishIdentity;female
0;5;1;63;7;5;5;7;7;0
1;4;2;65;3;2;4;4;4;1
1;2;1;56;6;4;3;7;7;0
0;5;1;50;3;2;6;2;2;0
0;4;1;65;4;2;5;7;6;0
0;4;1;61;8;2;5;4;4;0
0;4;1;54;5;2;4;3;6;0
1;4;1;35;7;4;1;1;7;0
0;4;1;64;7;3;7;1;7;0
1;5;1;73;7;3;1;7;7;0
1;0;1;65;8;5;7;7;7;0
0;2;1;50;7;4;5;7;7;0
1;4;1;56;6;4;3;7;7;0
0;5;2;49;4;2;6;1;2;1
1;4;1;64;6;3;4;6;6;0
0;4;1;61;8;2;6;3;3;0
1;4;1;73;8;3;1;1;7;0
0;4;1;68;1;1;5;5;5;0
0;5;2;66;7;4;4;6;5;1
1;5;1;55;7;2;4;7;6;0
0;4;1;66;4;2;7;2;2;0
1;4;1;78;5;3;1;7;6;0
0;5;1;46;8;3;3;6;5;0
1;5;1;52;7;4;1;1;5;0
1;2;1;66;2;1;1;7;1;0
0;3;1;42;7;3;7;1;7;0
0;5;2;53;7;3;4;4;4;1
0;4;1;67;2;2;7;1;1;0
1;3;1;56;6;1;5;7;7;0
0;4;1;60;5;3;7;1;1;0
1;0;1;61;3;3;1;2;5;0
1;2;1;59;4;2;4;1;7;0
1;3;2;56;6;3;4;7;6;1
1;3;2;69;4;2;3;7;6;1
1;2;1;51;6;4;1;7;4;0
1;5;1;57;5;3;2;6;5;0
0;4;2;49;4;3;5;4;4;1
1;4;1;59;6;3;1;7;7;0
0;4;1;61;2;3;5;6;6;0
1;4;1;66;6;2;5;5;6;0
0;5;2;46;8;2;4;5;6;1
0;2;1;52;7;1;6;6;6;0
0;4;1;70;4;2;7;6;5;0
1;3;1;71;7;3;1;7;7;0
0;5;1;59;8;2;7;5;5;0
1;3;2;70;7;3;3;7;5;1
0;4;1;61;8;3;5;6;5;0
1;4;1;43;3;2;4;7;5;0
0;4;2;42;7;2;5;1;6;1
0;4;1;51;8;3;4;4;4;0
0;2;1;69;4;3;6;6;7;0
1;2;1;42;6;3;2;6;5;0
0;5;2;49;7;3;7;2;6;1
1;5;1;62;5;2;1;7;5;0
0;5;1;51;5;3;7;3;6;0
0;5;1;53;8;4;3;7;7;0
1;1;1;63;3;4;2;5;7;0
0;4;1;44;7;3;5;3;7;0
0;5;1;69;5;4;6;5;7;0
1;5;1;62;4;2;4;7;7;0
1;5;1;54;7;3;1;7;5;0
0;4;1;47;7;2;5;4;5;0
1;4;1;63;4;3;3;6;6;0
0;5;1;41;5;3;3;5;4;0
1;3;2;69;7;3;4;7;7;1
0;4;2;35;4;2;6;1;7;1
1;3;2;51;8;3;1;7;5;1
1;5;1;67;5;3;2;6;6;0
0;4;1;50;3;2;6;1;6;0
1;4;1;70;3;4;1;7;7;0
0;5;1;63;7;3;5;6;6;0
1;4;1;43;6;4;6;6;6;0
1;4;2;54;7;2;1;7;1;1
1;4;1;69;4;4;4;7;7;0
1;2;1;68;5;2;3;6;6;0
0;5;1;48;7;3;2;7;7;0
1;5;1;57;8;3;2;7;7;0
1;2;1;68;8;2;1;7;7;0
0;4;2;57;8;3;4;5;6;1
0;5;1;68;8;3;5;7;6;0
1;5;1;52;6;1;4;6;6;0
1;4;1;63;8;3;2;1;6;0
0;4;1;71;5;4;5;6;6;0
1;4;1;67;7;3;4;5;5;0
1;4;1;67;4;4;1;7;7;0
0;5;1;57;4;3;5;4;4;0
0;4;1;71;5;4;5;4;6;0
1;3;1;62;4;4;2;1;6;0
0;4;2;64;7;4;7;5;5;1
1;3;2;63;2;4;1;5;5;1
0;4;2;53;2;1;4;4;7;1
0;5;2;62;7;2;6;6;6;1
0;4;1;63;7;3;7;7;7;0
1;4;1;51;7;4;6;7;7;0
0;5;1;62;7;3;6;7;7;0
0;5;1;65;8;3;7;1;6;0
0;5;2;65;4;3;7;3;3;1
